id,titulo,tipo,fonteTitulo,data_publicacao,volume,issue,paginas,paginasInicio,paginasFim,numeroPaginas,doi,autores_artigo,orcid_autores,departamento,origem,financiador,repositorioIPBeja,apoiosPublicacao
WOS:000168191400009,"Synthesis and fixation of aminocyanines to microcrystalline cellulose using cyanuric chloride as a cross-linking agent",Article,"COLORATION TECHNOLOGY",2001-01-01,117,1,43-48,43,48,6,,"AC Pardal; SS Ramos; L Santos; P Almeida",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000176506000001,"Preliminary studies on the use of cyanines as ligands in dye-affinity chromatography of proteins",Article,"COLORATION TECHNOLOGY",2002-01-01,118,3,95-99,95,99,5,,"AC Pardal; MJ Nunes; AM Gama; JA Queiroz; P Almeida",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000174849300001,"Synthesis and spectroscopic characterisation of <i>N</i>-alkyl quaternary ammonium salts typical precursors of cyanines",Article,MOLECULES,2002-03-01,7,3,320-330,320,330,11,10.3390/70300320,"AC Pardal; SS Ramos; PF Santos; LV Reis; P Almeida",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000282550900023,"Rape oil transesterification over heterogeneous catalysts",Article,"FUEL PROCESSING TECHNOLOGY",2010-11-01,91,11,1530-1536,1530,1536,7,10.1016/j.fuproc.2010.05.034,"J. M. Encinar; J. F. Gonzalez; A. Pardal; G. Martinez",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000300740100006,"Transesterification of rapeseed oil in subcritical methanol conditions",Article,"FUEL PROCESSING TECHNOLOGY",2012-02-01,94,1,40-46,40,46,7,10.1016/j.fuproc.2011.10.018,"J. M. Encinar; A. Pardal; G. Martinez",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000300615900051,"Soybean oil transesterification by the use of a microwave flow system",Article,FUEL,2012-05-01,95,1,386-393,386,393,8,10.1016/j.fuel.2011.11.010,"J. M. Encinar; J. F. Gonzalez; G. Martinez; N. Sanchez; A. Pardal",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000307692900002,"Transesterification of castor oil under ultrasonic irradiation conditions. Preliminary results",Article,"FUEL PROCESSING TECHNOLOGY",2012-11-01,103,,9-15,9,15,7,10.1016/j.fuproc.2011.12.033,"J. M. Encinar; J. F. Gonzalez; A. Pardal",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000213009000009,"Portfolio as a topological tool to define a professional profile in the area of creative industries",Article,"INTERNATIONAL JOURNAL OF EDUCATION THROUGH ART",2013-10-01,9,3,399-410,399,410,12,10.1386/eta.9.3.399_7,"Aldo Serra Passarinho; Ana Velhinho De Sousa; Tiago Caldas Nunes; Viviane Silva",0000-0001-6628-4147,"Artes H Desporto",WOS,N/A,N/A,N/A
WOS:000365627700008,"An improvement to the transesterification process by the use of co-solvents to produce biodiesel",Article,FUEL,2016-02-15,166,,51-58,51,58,8,10.1016/j.fuel.2015.10.110,"Jose M. Encinar; Ana Pardal; Nuria Sanchez",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000367187100002,"YIELD AND QUALITY RESPONSES OF 'ARAGONEZ' GRAPEVINES UNDER DEFICIT IRRIGATION AND DIFFERENT SOIL MANAGEMENT PRACTICES IN A MEDITERRANEAN CLIMATE",Article,"CIENCIA E TECNICA VITIVINICOLA",2015-01-01,30,1,9-20,9,20,12,10.1051/ctv/20153001009,"Alexandra Tomaz; Jose Miguel Coleto Martinez; Carlos Arruda Pacheco",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:000404851500009,"Influence of cover cropping on water uptake dynamics in an irrigated Mediterranean vineyard",Article,"IRRIGATION AND DRAINAGE",2017-07-01,66,3,387-395,387,395,9,10.1002/ird.2115,"A. Tomaz; C. A. Pacheco; J. M. Coleto Martinez",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:000414873900016,"Water Use and Productivity of Maize-based Cropping Systems in the Alqueva Region (Portugal)",Article,"CEREAL RESEARCH COMMUNICATIONS",2017-12-01,45,4,711-721,711,721,11,10.1556/0806.45.2017.036,"A. Tomaz; M. Patanita; I. Guerreiro; L. Boteta; J. F. Palma",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:000427500200004,"Efficient use of water and nutrients in irrigated cropping systems in the Alqueva region",Article,"SPANISH JOURNAL OF SOIL SCIENCE",2018-01-01,8,1,12-23,12,23,12,10.3232/SJSS.2018.V8.N1.02,"A. Tomaz; M. Patanita; I Guerreiro; J. Dores; L. Boteta; J. Ferro Palma",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:000446604500050,"Biodiesel by Transesterification of Rapeseed Oil Using Ultrasound: A Kinetic Study of Base-Catalysed Reactions",Article,ENERGIES,2018-09-01,11,9,,,,13,10.3390/en11092229,"Jose Maria Encinar; Ana Pardal; Nuria Sanchez; Sergio Nogales",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000790340500023,"Models and Politics of Cares of the Elderly in the Home","Proceedings Paper","GERONTECHNOLOGY, IWOG 2018",2019-01-01,1016,,257-268,257,268,12,10.1007/978-3-030-16028-9_23,"Rogerio Ferrinho Ferreira; Ana Clara Nunes; Ana Maria Canhestro",0000-0002-8514-2264,Saúde,WOS,N/A,N/A,N/A
WOS:000463663200014,"Evaluation of Energy Production Through Solar Photovoltaic Technology for Self-Consumption in the Parish Council of Sao Bartolomeu de Messines, Portugal - Preliminary Study",Article,"JOURNAL OF ECOLOGICAL ENGINEERING",2019-05-01,20,5,111-120,111,120,10,10.12911/22998993/105336,"Ana Pardal; Jose Pinto; Joana Fernandes",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000468021100018,"Combined effects of irrigation management and nitrogen fertilization on soft wheat productive responses under Mediterranean conditions","Proceedings Paper","FIRST INTERNATIONAL SCIENTIFIC CONFERENCE ON ECOLOGICAL AND ENVIRONMENTAL ENGINEERING 2018",2019-01-01,86,,,,,4,10.1051/e3sconf/20198600019,"Patricia Oliveira; Manuel Patanita; Jose Dores; Luis Boteta; Jose Ferro Palma; Maria Isabel Patanita; Isabel Guerreiro; Jose Penacho; Maria Natividade Costa; Elizabete Rosa; Alexandra Tomaz",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
