id,titulo,tipos,tiposFonte,fonteTitulo,anoPublicacao,volume,issue,paginas,paginasInicio,paginasFim,numeroPaginas,autores,researcherIds,organizacoes,linkRegistro,linkReferencias,linkRelacionados,citacoes,issn,isbn,doi,keywordsAutor,orcidsAssociados,nomesAssociados
WOS:000367187100002,"YIELD AND QUALITY RESPONSES OF 'ARAGONEZ' GRAPEVINES UNDER DEFICIT IRRIGATION AND DIFFERENT SOIL MANAGEMENT PRACTICES IN A MEDITERRANEAN CLIMATE",Article,Article,"CIENCIA E TECNICA VITIVINICOLA",2015,30,1,9-20,9,20,12,"Tomaz, Alexandra, Coleto Martinez, Jose Miguel, Pacheco, Carlos Arruda","I-5402-2019, DES-5836-2022, HHB-6549-2022",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000367187100002&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000367187100002&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000367187100002&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,2416-3953,undefined,10.1051/ctv/20153001009,"Vitis vinifera L., irrigation, cover crop, vertisols",0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz"
WOS:000431188800012,"The Ninth world conference for graduate research in tourism, hospitality and leisure","Editorial material","Editorial Material","ANATOLIA-INTERNATIONAL JOURNAL OF TOURISM AND HOSPITALITY RESEARCH",2017,28,4,601-603,601,603,3,"Rodrigues, Ana Isabel",AFE-6018-2022,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000431188800012&DestLinkType=FullRecord&DestApp=WOS_CPL,undefined,undefined,,1303-2917,undefined,10.1080/13032917.2017.1359928,,0000-0001-9140-9722,"Ana Isabel Barros Pimentel Rodrigues"
WOS:000404851500009,"Influence of cover cropping on water uptake dynamics in an irrigated Mediterranean vineyard",Article,Article,"IRRIGATION AND DRAINAGE",2017,66,3,387-395,387,395,9,"Tomaz, A., Pacheco, C. A., Coleto Martinez, J. M.","I-5402-2019, G-2227-2015, JDW-9946-2023",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000404851500009&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000404851500009&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000404851500009&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,1531-0353,undefined,10.1002/ird.2115,"cover crops, irrigation, rainfed, Vertisols, Vitis vinifera L, water extraction, cultures de couverture, irrigation pluviale, vertisols, Vitis vinifera L, prelevement d'eau",0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz"
WOS:000414873900016,"Water Use and Productivity of Maize-based Cropping Systems in the Alqueva Region (Portugal)",Article,Article,"CEREAL RESEARCH COMMUNICATIONS",2017,45,4,711-721,711,721,11,"Tomaz, A., Patanita, M., Guerreiro, I., Boteta, L., Palma, J. F.","I-5402-2019, DYR-8555-2022, EXU-5394-2022, CFT-3808-2022, BBD-1692-2021",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000414873900016&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000414873900016&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000414873900016&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0133-3720,undefined,10.1556/0806.45.2017.036,"Alqueva, monoculture, crop rotation, water extraction, water productivity",0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz"
WOS:000427500200004,"Efficient use of water and nutrients in irrigated cropping systems in the Alqueva region",Article,Article,"SPANISH JOURNAL OF SOIL SCIENCE",2018,8,1,12-23,12,23,12,"Tomaz, A., Patanita, M., Guerreiro, I, Dores, J., Boteta, L., Ferro Palma, J.","I-5402-2019, DYR-8555-2022, EXU-5394-2022, DVJ-4304-2022, CFT-3808-2022, BBD-1692-2021",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000427500200004&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000427500200004&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000427500200004&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,2253-6574,undefined,10.3232/SJSS.2018.V8.N1.02,"Alentejo, irrigation, crop rotation, soil fertility, WUE, NUE",0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz"
WOS:000446604500050,"Biodiesel by Transesterification of Rapeseed Oil Using Ultrasound: A Kinetic Study of Base-Catalysed Reactions",Article,Article,ENERGIES,2018,11,9,undefined,undefined,undefined,13,"Maria Encinar, Jose, Pardal, Ana, Sanchez, Nuria, Nogales, Sergio","GCJ-5992-2022, DYO-3019-2022, DWK-3430-2022, O-6456-2014",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000446604500050&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000446604500050&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000446604500050&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,undefined,undefined,10.3390/en11092229,"fatty acid methyl ester, catalyst, viscosity, iodine value, acidity index",0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal"
WOS:000410817100006,"Combining visual and textual data for assessing destination image: Lake tourism example",Article,Article,"JOURNAL OF GLOBAL SCHOLARS OF MARKETING SCIENCE",2017,27,4,319-339,319,339,21,"Rodrigues, Ana Isabel, Correia, Antonia, Kozak, Metin","AFE-6018-2022, A-5353-2010, H-8361-2019",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000410817100006&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000410817100006&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000410817100006&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,2163-9159,undefined,10.1080/21639159.2017.1360147,"Alqueva Lake, destination image, lake destination areas, lake tourism, pictorial image, visual methods",0000-0001-9140-9722,"Ana Isabel Barros Pimentel Rodrigues"
WOS:000401019100003,"Assessing lake-destination image: insights from the industry side",Article,Article,"INTERNATIONAL JOURNAL OF CULTURE TOURISM AND HOSPITALITY RESEARCH",2017,11,1,5-17,5,17,13,"Rodrigues, Ana Isabel, Correia, Antonia, Kozak, Metin","AFE-6018-2022, A-5353-2010, H-8361-2019",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000401019100003&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000401019100003&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000401019100003&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,1750-6182,undefined,10.1108/IJCTHR-09-2015-0116,"Destination image, Alqueva lake, Content-Analysis, Lake tourism, Lake-Destination areas",0000-0001-9140-9722,"Ana Isabel Barros Pimentel Rodrigues"
WOS:000790340500023,"Models and Politics of Cares of the Elderly in the Home",Meeting,"Proceedings Paper","GERONTECHNOLOGY, IWOG 2018",2019,1016,undefined,257-268,257,268,12,"Ferreira, Rogerio Ferrinho, Nunes, Ana Clara, Canhestro, Ana Maria","AAQ-9285-2020, GZL-2698-2022, LBS-7239-2024",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000790340500023&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000790340500023&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000790340500023&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,1865-0929,978-3-030-16027-2,10.1007/978-3-030-16028-9_23,"Health policies, Home services, Elderly","0000-0002-8514-2264; 0000-0002-5528-3154","Ana Clara Pica Nunes; Ana Maria Grego Dias Sobral Canhestro"
WOS:000463663200014,"Evaluation of Energy Production Through Solar Photovoltaic Technology for Self-Consumption in the Parish Council of Sao Bartolomeu de Messines, Portugal - Preliminary Study",Article,Article,"JOURNAL OF ECOLOGICAL ENGINEERING",2019,20,5,111-120,111,120,10,"Pardal, Ana, Pinto, Jose, Fernandes, Joana","DYO-3019-2022, GBL-8200-2022, LWP-2708-2024",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000463663200014&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000463663200014&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000463663200014&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,2299-8993,undefined,10.12911/22998993/105336,"photovoltaic solar energy, public buildings, sustainability, self-consumption, Algarve/Portugal",0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal"
WOS:000468021100018,"Combined effects of irrigation management and nitrogen fertilization on soft wheat productive responses under Mediterranean conditions",Meeting,"Proceedings Paper","FIRST INTERNATIONAL SCIENTIFIC CONFERENCE ON ECOLOGICAL AND ENVIRONMENTAL ENGINEERING 2018",2019,86,undefined,undefined,undefined,undefined,4,"Oliveira, Patricia, Patanita, Manuel, Dores, Jose, Boteta, Luis, Palma, Jose Ferro, Patanita, Maria Isabel, Guerreiro, Isabel, Penacho, Jose, Costa, Maria Natividade, Rosa, Elizabete, Tomaz, Alexandra","KML-5585-2024, DYR-8555-2022, DVJ-4304-2022, CFT-3808-2022, BBD-1692-2021, FQG-9196-2022, EXU-5394-2022, DMM-9647-2022, CKZ-1472-2022, DPN-9705-2022, I-5402-2019",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000468021100018&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000468021100018&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000468021100018&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,2267-1242,undefined,10.1051/e3sconf/20198600019,,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz"
WOS:000495594000020,"Using CAQDAS in Visual Data Analysis: A Systematic Literature Review",Meeting,"Proceedings Paper","COMPUTER SUPPORTED QUALITATIVE RESEARCH: NEW TRENDS ON QUALITATIVE RESEARCH",2019,861,undefined,235-247,235,247,13,"Rodrigues, Ana Isabel, Costa, Antonio Pedro, Moreira, Antonio","AFE-6018-2022, IZP-7966-2023, T-6311-2017",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000495594000020&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000495594000020&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000495594000020&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,2194-5357,978-3-030-01405-6,10.1007/978-3-030-01406-3_20,"Systematic Literature Review, Visual research, Visual methods, Visual data analysis, CAQDAS",0000-0001-9140-9722,"Ana Isabel Barros Pimentel Rodrigues"
WOS:000498270000075,"Water Regime and Nitrogen Management to Cope with Wheat Yield Variability under the Mediterranean Conditions of Southern Portugal",Article,Article,PLANTS-BASEL,2019,8,10,undefined,undefined,undefined,15,"Patanita, Manuel, Tomaz, Alexandra, Ramos, Tiago, Oliveira, Patricia, Boteta, Luis, Dores, Jose","DYR-8555-2022, I-5402-2019, FTW-9732-2022, KML-5585-2024, CFT-3808-2022, DVJ-4304-2022",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000498270000075&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000498270000075&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000498270000075&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,2223-7747,undefined,10.3390/plants8100429,"wheat, climate change, climate uncertainty, grain yield, irrigation, nitrogen fertilization, enhanced efficiency fertilizers",0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz"
WOS:000790577700034,"Representations of Aging in Nursing and Social Work Students",Meeting,"Proceedings Paper","GERONTECHNOLOGY, IWOG 2019",2020,1185,undefined,350-358,350,358,9,"Faria, Maria Cristina, Fernandes, Ana Isabel","GEO-1125-2022, KCD-9797-2024",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000790577700034&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000790577700034&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000790577700034&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,1865-0929,978-3-030-41493-1,10.1007/978-3-030-41494-8_34,"Higher education students, Nursing, Social work, Aging, Social representations, Social perceptions, Aged society, Gerontology",0000-0001-9140-9722,"Ana Isabel Barros Pimentel Rodrigues"
WOS:000735996500001,"Designing and evaluating tourism experiences in senior mobility: an application of the OEC framework",Article,Article,"TOURISM & MANAGEMENT STUDIES",2020,16,4,59-72,59,72,14,"Amaral, Marta, Rodrigues, Ana Isabel, Diniz, Alice, Oliveira, Sandra, Leal, Susanal","DWC-9828-2022, AFE-6018-2022, IBZ-8119-2023, DSU-5885-2022, H-7872-2012",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000735996500001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000735996500001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000735996500001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,2182-8458,undefined,10.18089/tms.2020.160405,"Senior tourism, social tourism, senior experiences, motivations, OEC model, tourism experiences",0000-0001-9140-9722,"Ana Isabel Barros Pimentel Rodrigues"
WOS:000513180900001,"Spatial and temporal dynamics of irrigation water quality under drought conditions in a large reservoir in Southern Portugal",Article,Article,"ENVIRONMENTAL MONITORING AND ASSESSMENT",2020,192,2,undefined,undefined,undefined,17,"Tomaz, Alexandra, Palma, Patricia, Fialho, Sofia, Lima, Ana, Alvarenga, Paula, Potes, Miguel, Salgado, Rui","I-5402-2019, G-4112-2016, CPF-5095-2022, KTM-9518-2024, K-9083-2017, DYJ-9862-2022, B-7588-2011",,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000513180900001&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000513180900001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=project&SrcAuth=WosAPI&KeyUT=WOS:000513180900001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,0167-6369,undefined,10.1007/s10661-019-8048-1,"Irrigation areas, Water salinity, SAR, Drought, Water quality assessment",0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz"
